CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_Phillip_Tracy_output_15_pt,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'201,RUSK COUNTY,'07,'201903,LANEVILLE ISD,INDEPENDENT,7415 FM 1798 W,LANEVILLE,TX,75667-9708,7415 FM 1798 W,LANEVILLE,TX,75667-9708,(903) 863-5353,(903) 863-2736,lanevil@eastex.net,www.lanevilleisd.org,DR BRIAN NICHOLS   ,172,'201903001,LANEVILLE SCHOOL,REGULAR INSTRUCTIONAL,,7415 FM 1798 W,LANEVILLE,TX,75667-9708,7415 HWY 1798 W,LANEVILLE,TX,75667-9708,(903) 863-5353,(903) 863-2376,lanevil@eastex.net,lanevilleisd.org,DR BRIAN NICHOLS   ,'EE-12,172,Active,1988-08-22,2015-03-14T05:35:23,112,USCGeocoder,156,1,4.01,,d1aff176-6ec7-4341-a962-e26455ac81de,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,31.976401,-94.808295,Exact
'201,RUSK COUNTY,'07,'201904,LEVERETTS CHAPEL ISD,INDEPENDENT,P O BOX 669,LAIRD HILL,TX,75666-0669,8956 STATE HWY 42/135 N,OVERTON,TX,75684,(903) 834-6675,(903) 834-6602,djohnson@leverettschapelisd.net,www.leverettschapelisd.net,MS DONNA S JOHNSON   ,277,'201904001,LEVERETTS CHAPEL H S,REGULAR INSTRUCTIONAL,,P O BOX 669,LAIRD HILL,TX,75666-0669,8956 STATE HWY 42/135 N,OVERTON,TX,75684-9999,(903) 834-3181,(903) 834-6602,mperry@leverettschapelisd.net,www.leverettschapelisd.net,JOSH JOHNSON   ,'09-12,62,Active, ,2015-03-14T05:35:23,113,USCGeocoder,63,1,4.01,,de22cd5c-2710-4395-aabd-89f5f3da341e,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.309333,-94.922982,Exact
'201,RUSK COUNTY,'07,'201904,LEVERETTS CHAPEL ISD,INDEPENDENT,P O BOX 669,LAIRD HILL,TX,75666-0669,8956 STATE HWY 42/135 N,OVERTON,TX,75684,(903) 834-6675,(903) 834-6602,djohnson@leverettschapelisd.net,www.leverettschapelisd.net,MS DONNA S JOHNSON   ,277,'201904041,LEVERETTS CHAPEL J H,REGULAR INSTRUCTIONAL,,P O BOX 669,LAIRD HILL,TX,75666-0669,8956 STATE HWY 42/135N,OVERTON,TX,75684-9999,(903) 834-3181,(903) 834-6602,jjohnson@leverettschapelisd.net,www.leverettschapelisd.net,MR JOSH JOHNSON   ,'06-08,-1,Active,2001-04-03,2015-03-14T05:35:23,114,USCGeocoder,47,1,4.01,,b525b5e8-dcda-44d9-afab-0b1f0e330744,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.309333,-94.922982,Exact
'201,RUSK COUNTY,'07,'201904,LEVERETTS CHAPEL ISD,INDEPENDENT,P O BOX 669,LAIRD HILL,TX,75666-0669,8956 STATE HWY 42/135 N,OVERTON,TX,75684,(903) 834-6675,(903) 834-6602,djohnson@leverettschapelisd.net,www.leverettschapelisd.net,MS DONNA S JOHNSON   ,277,'201904101,LEVERETTS CHAPEL EL,REGULAR INSTRUCTIONAL,,P O BOX 669,LAIRD HILL,TX,75666-0669,8956 STATE HWY 42/135 N,OVERTON,TX,75684-9999,(903) 834-3181,(903) 834-6602,meverett@leverettschapelisd.net,www.leverettschapelisd.net,MATT EVERETT   ,'EE-05,153,Active,1996-07-01,2015-03-14T05:35:23,115,USCGeocoder,63,1,4.01,,7fb9cca1-d2d2-4938-9261-aaabc9bfb8a9,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.309333,-94.922982,Exact
'201,RUSK COUNTY,'07,'201904,LEVERETTS CHAPEL ISD,INDEPENDENT,P O BOX 669,LAIRD HILL,TX,75666-0669,8956 STATE HWY 42/135 N,OVERTON,TX,75684,(903) 834-6675,(903) 834-6602,djohnson@leverettschapelisd.net,www.leverettschapelisd.net,MS DONNA S JOHNSON   ,277,'201904103,TROUP ALTERNATIVE,DAEP INSTRUCTIONAL,,P O BOX 669,LAIRD HILL,TX,75666,201 N CAROLINA,TROUP,TX,75789,(903) 834-3181,(903) 834-6602,djohnson@leverettschapelisd.net,leverettschapelisd.net,    ,'KG-12,-1,Active,2010-08-23,2015-03-14T05:35:23,116,USCGeocoder,31,1,4.01,,bb414ecf-774f-44ad-82c7-77108dd80641,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.145931,-95.118504,Exact
'201,RUSK COUNTY,'07,'201907,MOUNT ENTERPRISE ISD,INDEPENDENT,301 NW 3RD ST,MOUNT ENTERPRISE,TX,75681,301 NW 3RD ST,MOUNT ENTERPRISE,TX,75681,(903) 822-3575,(903) 822-3633,meisd@meisd.esc7.net,www.meisd.esc7.net,MR BYRON JORDAN   ,410,'201907001,MT ENTERPRISE H S,REGULAR INSTRUCTIONAL,,301 NW 3RD ST,MT ENTERPRISE,TX,75681,301 NW 3RD ST,MT ENTERPRISE,TX,75681,(903) 822-3721,(903) 822-3633,meisd@meisd.esc7.net,www.meisd.esc7.net,MR CHANCE MAYS   ,'06-12,200,Active, ,2015-03-14T05:35:23,117,USCGeocoder,31,1,4.01,,ab0121fa-e0a7-41d5-ad89-b14cd1663c8d,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,33687.1347286,LinearInterpolationAddressRange,StreetSegment,94.8520710059,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.9059583016,-94.6813565006,Relaxed
'201,RUSK COUNTY,'07,'201907,MOUNT ENTERPRISE ISD,INDEPENDENT,301 NW 3RD ST,MOUNT ENTERPRISE,TX,75681,301 NW 3RD ST,MOUNT ENTERPRISE,TX,75681,(903) 822-3575,(903) 822-3633,meisd@meisd.esc7.net,www.meisd.esc7.net,MR BYRON JORDAN   ,410,'201907101,MT ENTERPRISE ELEMENTARY,REGULAR INSTRUCTIONAL,,301 NW 3RD ST,MT ENTERPRISE,TX,75681,301 NW 3RD ST,MT ENTERPRISE,TX,75681,(903) 822-3545,(903) 822-3633,meisd@meisd.esc7.net,www.meisd.esc7.net,MR ANDREW LEE   ,'EE-05,210,Active, ,2015-03-14T05:35:23,118,USCGeocoder,31,1,4.01,,64ddbab1-0042-41f7-8a11-781155ed652d,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,33687.1347286,LinearInterpolationAddressRange,StreetSegment,94.8520710059,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.9059583016,-94.6813565006,Relaxed
'201,RUSK COUNTY,'07,'201908,OVERTON ISD,INDEPENDENT,P O BOX 130,OVERTON,TX,75684-0130,111 E MCKAY,OVERTON,TX,75684,(903) 834-6145,(903) 834-6755,stephen.dubose@overtonisd.org,www.overtonisd.net,MR STEPHEN ERVIN DUBOSE   ,510,'201908001,OVERTON H S,REGULAR INSTRUCTIONAL,,P O BOX 130,OVERTON,TX,75684-0130,111 E MCKAY ST,OVERTON,TX,75684,(903) 834-6143,(903) 834-3246,kendall.smith@overtonisd.org,www.overtonisd.net,KENDALL SMITH   ,'06-12,259,Active, ,2015-03-14T05:35:23,119,USCGeocoder,16,1,4.01,,9935d06b-bcba-48fa-9fd2-b44183b0ef37,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3087.47029147,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.2760690514,-94.9768566664,Relaxed;Soundex
'201,RUSK COUNTY,'07,'201908,OVERTON ISD,INDEPENDENT,P O BOX 130,OVERTON,TX,75684-0130,111 E MCKAY,OVERTON,TX,75684,(903) 834-6145,(903) 834-6755,stephen.dubose@overtonisd.org,www.overtonisd.net,MR STEPHEN ERVIN DUBOSE   ,510,'201908101,OVERTON EL,REGULAR INSTRUCTIONAL,,P O BOX 130,OVERTON,TX,75684-0130,111 E MCKAY ST,OVERTON,TX,75684,(903) 834-6144,(903) 834-3913,nikki.fenter@overtonisd.org,www.overtonisd.net,MRS NIKKI FENTER   ,'EE-05,251,Active, ,2015-03-14T05:35:23,120,USCGeocoder,31,1,4.01,,c1f48d48-0b7a-48d9-8b99-02dcaa33ebd9,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3087.47029147,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.2760690514,-94.9768566664,Relaxed;Soundex
'201,RUSK COUNTY,'07,'201910,TATUM ISD,INDEPENDENT,P O BOX 808,TATUM,TX,75691-0808,510 CRYSTAL FARM RD,TATUM,TX,75691-9621,(903) 947-0161,(903) 947-3295,harttd@tatumisd.org,www.tatumisd.org,DR DEE W HARTT   ,1716,'201910002,TATUM H S,REGULAR INSTRUCTIONAL,,P O BOX 808,TATUM,TX,75691-0808,600 CRYSTAL FARM RD,TATUM,TX,75691-9621,(903) 947-6482,(903) 947-6206,garciab@tatumisd.org,www.tatumisd.org,MR BOB GARCIA   ,'09-12,509,Active, ,2015-03-14T05:35:23,121,USCGeocoder,63,1,4.01,,8488a35e-a35e-4215-8195-12e0b6eb7f4c,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.321311,-94.517539,Exact
'201,RUSK COUNTY,'07,'201910,TATUM ISD,INDEPENDENT,P O BOX 808,TATUM,TX,75691-0808,510 CRYSTAL FARM RD,TATUM,TX,75691-9621,(903) 947-0161,(903) 947-3295,harttd@tatumisd.org,www.tatumisd.org,DR DEE W HARTT   ,1716,'201910041,TATUM MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 808,TATUM,TX,75691-0808,410 N HILL ST,TATUM,TX,75691-9656,(903) 947-6482 ext:308 ,(903) 947-2322,milamb@tatumisd.org,www.tatumisd.org,MR BRANDON MILAM   ,'06-08,404,Active,1983-08-15,2015-03-14T05:35:23,122,USCGeocoder,78,1,4.01,,babf55f4-71d9-4d1e-b583-5955dd7759cb,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.313803,-94.516649,Exact
'201,RUSK COUNTY,'07,'201910,TATUM ISD,INDEPENDENT,P O BOX 808,TATUM,TX,75691-0808,510 CRYSTAL FARM RD,TATUM,TX,75691-9621,(903) 947-0161,(903) 947-3295,harttd@tatumisd.org,www.tatumisd.org,DR DEE W HARTT   ,1716,'201910102,TATUM EL,REGULAR INSTRUCTIONAL,,P O BOX 808,TATUM,TX,75691-0808,1525 N HILL ST,TATUM,TX,75691-9656,(903) 947-6482,(903) 947-3299,malonej@tatumisd.org,www.tatumisd.org,MRS JENNIFER MALONE   ,'03-05,396,Active, ,2015-03-14T05:35:23,123,USCGeocoder,16,1,4.01,,f3ce1909-47a2-40e5-91ce-293202de110e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,8746.95353374,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.3248016038,-94.5306691516,Relaxed
'201,RUSK COUNTY,'07,'201910,TATUM ISD,INDEPENDENT,P O BOX 808,TATUM,TX,75691-0808,510 CRYSTAL FARM RD,TATUM,TX,75691-9621,(903) 947-0161,(903) 947-3295,harttd@tatumisd.org,www.tatumisd.org,DR DEE W HARTT   ,1716,'201910104,TATUM PRI,REGULAR INSTRUCTIONAL,,P O BOX 808,TATUM,TX,75691-0808,1200 N HILL ST,TATUM,TX,75691-9660,(903) 947-6482,(903) 947-6532,baumgardnerk@tatumisd.org,www.tatumisd.org,MRS KATHY BAUMGARDNER   ,'EE-02,407,Active, ,2015-03-14T05:35:23,124,USCGeocoder,16,1,4.01,,c49b91ff-6b42-43a7-a499-2fd7827bf41e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,7106.04161695,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,32.3232236463,-94.5248129134,Relaxed
'201,RUSK COUNTY,'07,'201913,CARLISLE ISD,INDEPENDENT,P O BOX 187,PRICE,TX,75687-0187,8960 F M 13,HENDERSON,TX,75654,(903) 861-3801,(903) 861-3932,bakers@carl.sprnet.org,www.carl.sprnet.org/,MR MICHAEL R PAYNE   ,661,'201913001,CARLISLE SCHOOL,REGULAR INSTRUCTIONAL,,P O BOX 187,PRICE,TX,75687-0187,8960 F M 13,PRICE,TX,75687-0187,(903) 861-3811,(903) 861-3932,,,MR ANDY OWENS   MR REX THOMPSON   MRS STEPHANIE ROWAN   ,'EE-12,661,Active, ,2015-03-14T05:35:23,125,USCGeocoder,141,1,4.01,,1778daed-8db1-41aa-9061-dae0b9b660a2,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.133421,-94.945963,Exact
'201,RUSK COUNTY,'07,'201913,CARLISLE ISD,INDEPENDENT,P O BOX 187,PRICE,TX,75687-0187,8960 F M 13,HENDERSON,TX,75654,(903) 861-3801,(903) 861-3932,bakers@carl.sprnet.org,www.carl.sprnet.org/,MR MICHAEL R PAYNE   ,661,'201913002,TROUP CAEP,DAEP INSTRUCTIONAL,,P O BOX 187,PRICE,TX,75687, , ,TX, , , ,,,    ,'KG-12,0,Active,2005-05-24,2015-03-14T05:35:23,126,USCGeocoder,234,1,4.01,,caa55ca3-3204-4f26-844e-4cfafb116a64,98,Unknown,Success,LOCATION_TYPE_USPS_ZIP_CODE,Kilometers,ArealInterpolation,695661.333,ArealInterpolationGeometricCentroid,State,100,FeatureClassBased,ReturnAll,,Unknown,,,0,,,Exact
'201,RUSK COUNTY,'07,'201914,WEST RUSK COUNTY CONSOLIDATED ISD,INDEPENDENT,P O BOX 168,NEW LONDON,TX,75682-0168,10705 S MAIN,NEW LONDON,TX,75682-0168,(903) 895-4503 ext:101 ,(903) 895-2267,colemanl@westruskisd.org,www.westrusk.esc7.net/,MR TOMMY W ALEXANDER   ,1077,'201914001,WEST RUSK H S,REGULAR INSTRUCTIONAL,,P O BOX 168,NEW LONDON,TX,75682-0168,705 S MAIN HWY 42,NEW LONDON,TX,75682-0168,(903) 895-4428 ext:122 ,(903) 895-4317,jacksonj@westruskisd.org,www.westrusk.esc7.net/,MR JAKE JACKSON   ,'09-12,289,Active, ,2015-03-14T05:35:23,127,USCGeocoder,63,1,4.01,,fd02a2d0-edec-4798-add6-4a86111f2c63,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.240755,-94.939602,Exact
'201,RUSK COUNTY,'07,'201914,WEST RUSK COUNTY CONSOLIDATED ISD,INDEPENDENT,P O BOX 168,NEW LONDON,TX,75682-0168,10705 S MAIN,NEW LONDON,TX,75682-0168,(903) 895-4503 ext:101 ,(903) 895-2267,colemanl@westruskisd.org,www.westrusk.esc7.net/,MR TOMMY W ALEXANDER   ,1077,'201914004,ELDER COOP ALTERNATIVE SCHOOL,DAEP INSTRUCTIONAL,,P O BOX 168,NEW LONDON,TX,75682,10705 S MAIN,NEW LONDON,TX,75682, , ,colemanl@westruskisd.org,,    ,'KG-12,0,Active,2012-08-08,2015-03-14T05:35:23,128,USCGeocoder,47,1,4.01,,c3def31d-b4ac-4002-a147-96844a97bd5a,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.240084,-94.940675,Exact
'201,RUSK COUNTY,'07,'201914,WEST RUSK COUNTY CONSOLIDATED ISD,INDEPENDENT,P O BOX 168,NEW LONDON,TX,75682-0168,10705 S MAIN,NEW LONDON,TX,75682-0168,(903) 895-4503 ext:101 ,(903) 895-2267,colemanl@westruskisd.org,www.westrusk.esc7.net/,MR TOMMY W ALEXANDER   ,1077,'201914041,WEST RUSK MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 168,NEW LONDON,TX,75682-0168,705 S MAIN HWY 42,NEW LONDON,TX,75682-0168,(903) 895-4613 ext:111 ,(903) 895-6085,bobbittl@westruskisd.org,westrusk.esc7.net,MRS LEAH BOBBITT   ,'06-08,252,Active, ,2015-03-14T05:35:23,129,USCGeocoder,47,1,4.01,,468dc860-4ee6-4dd1-ad93-249070dd76ec,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.238232,-94.941598,Exact
'201,RUSK COUNTY,'07,'201914,WEST RUSK COUNTY CONSOLIDATED ISD,INDEPENDENT,P O BOX 168,NEW LONDON,TX,75682-0168,10705 S MAIN,NEW LONDON,TX,75682-0168,(903) 895-4503 ext:101 ,(903) 895-2267,colemanl@westruskisd.org,www.westrusk.esc7.net/,MR TOMMY W ALEXANDER   ,1077,'201914104,WEST RUSK INT,REGULAR INSTRUCTIONAL,,P O BOX 168,NEW LONDON,TX,75682-0168,705 S MAIN HWY 42,NEW LONDON,TX,75682-0168,(903) 895-4685 ext:141 ,(903) 895-6058,lawrencec@westruskisd.org,www.westrusk.esc7.net/,MS CONNIE LAWRENCE   ,'03-05,248,Active, ,2015-03-14T05:35:23,130,USCGeocoder,78,1,4.01,,ec7ab20d-c5e3-49e8-8a21-d63373f85d51,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.238232,-94.941598,Exact
'201,RUSK COUNTY,'07,'201914,WEST RUSK COUNTY CONSOLIDATED ISD,INDEPENDENT,P O BOX 168,NEW LONDON,TX,75682-0168,10705 S MAIN,NEW LONDON,TX,75682-0168,(903) 895-4503 ext:101 ,(903) 895-2267,colemanl@westruskisd.org,www.westrusk.esc7.net/,MR TOMMY W ALEXANDER   ,1077,'201914105,WEST RUSK EL,REGULAR INSTRUCTIONAL,,10605 S MAIN,NEW LONDON,TX,75682,10605 S MAIN,NEW LONDON,TX,75682,(903) 895-4803 ext:150 ,(903) 895-4313,clinem@westruskisd.org,www.westrusk.esc7.net,DR MICHELLE CLINE   ,'EE-02,288,Active,2011-07-12,2015-03-14T05:35:23,131,USCGeocoder,63,1,4.01,,9e6de548-6c17-4a8f-a140-1138c52a2dbb,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,32.241372,-94.941231,Exact
'202,SABINE COUNTY,'07,'202903,HEMPHILL ISD,INDEPENDENT,P O BOX 1950,HEMPHILL,TX,75948-1950,1000 MILAM ST,HEMPHILL,TX,75948-1950,(409) 787-3371 ext:2101,(409) 787-4005,kelli.barnett@hemphillisd.net,www.hemphillisd.net,MR JOHN REESE BRIGGS   ,881,'202903001,HEMPHILL H S,REGULAR INSTRUCTIONAL,,P O BOX 1950,HEMPHILL,TX,75948-1950,1000 MILAM ST,HEMPHILL,TX,75948-1950,(409) 787-3371,(409) 787-1259,janet.thomas@hemphillisd.net,www.hemphillisd.net,MR MARC GRIFFIN   ,'09-12,270,Active, ,2015-03-14T05:35:23,132,USCGeocoder,47,1,4.01,,16812f83-505c-4fbb-ade6-ed96cb61c8ea,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,31.34698,-93.846702,Exact
'202,SABINE COUNTY,'07,'202903,HEMPHILL ISD,INDEPENDENT,P O BOX 1950,HEMPHILL,TX,75948-1950,1000 MILAM ST,HEMPHILL,TX,75948-1950,(409) 787-3371 ext:2101,(409) 787-4005,kelli.barnett@hemphillisd.net,www.hemphillisd.net,MR JOHN REESE BRIGGS   ,881,'202903041,HEMPHILL MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 1950,HEMPHILL,TX,75948-1950,1000 MILAM ST,HEMPHILL,TX,75948-1950,(409) 787-3371,(409) 787-4005,jeremy.mcdaniel@hemphillisd.net,,MR JEREMY MCDANIEL   ,'05-08,248,Active,1996-07-01,2015-03-14T05:35:23,133,USCGeocoder,31,1,4.01,,49681be8-bdec-4dc1-ac6f-91a896b27082,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,31.34698,-93.846702,Exact
'202,SABINE COUNTY,'07,'202903,HEMPHILL ISD,INDEPENDENT,P O BOX 1950,HEMPHILL,TX,75948-1950,1000 MILAM ST,HEMPHILL,TX,75948-1950,(409) 787-3371 ext:2101,(409) 787-4005,kelli.barnett@hemphillisd.net,www.hemphillisd.net,MR JOHN REESE BRIGGS   ,881,'202903101,HEMPHILL EL,REGULAR INSTRUCTIONAL,,P O BOX 1950,HEMPHILL,TX,75948-1950,1000 MILAM ST,HEMPHILL,TX,75948-1950,(409) 787-3371,(409) 787-4005,susan.smith@hemphillisd.net,,MRS SUSAN SMITH   ,'EE-04,363,Active, ,2015-03-14T05:35:23,134,USCGeocoder,31,1,4.01,,fa34ac0b-217c-4b68-be0a-1abe84b9ca48,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,31.34698,-93.846702,Exact
'202,SABINE COUNTY,'07,'202905,WEST SABINE ISD,INDEPENDENT,P O BOX 869,PINELAND,TX,75968-0869,101 TIMBERLAND HWY W,PINELAND,TX,75968-0869,(409) 584-2655,(409) 584-2139,mike.pate@westsabineisd.net,www.westsabineisd.net,MR VIRGIL MICHAEL PATE   ,690,'202905002,WEST SABINE H S,REGULAR INSTRUCTIONAL,,P O BOX 869,PINELAND,TX,75968-0869,109 TIMBERLAND HWY W,PINELAND,TX,75968-0869,(409) 584-2525,(409) 584-2695,ryan.fuller@westsabineisd.net,www.westsabineisd.net,MR RYAN FULLER   ,'06-12,354,Active,1999-08-01,2015-03-14T05:35:23,135,USCGeocoder,94,1,4.01,,6cb33e2b-c1fd-457b-9e3f-aad61582f98b,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,31.251341,-93.982578,Exact
'202,SABINE COUNTY,'07,'202905,WEST SABINE ISD,INDEPENDENT,P O BOX 869,PINELAND,TX,75968-0869,101 TIMBERLAND HWY W,PINELAND,TX,75968-0869,(409) 584-2655,(409) 584-2139,mike.pate@westsabineisd.net,www.westsabineisd.net,MR VIRGIL MICHAEL PATE   ,690,'202905102,WEST SABINE EL,REGULAR INSTRUCTIONAL,,P O BOX 869,PINELAND,TX,75968-0869,459 TEMPLE RD N,PINELAND,TX,75968-0869,(409) 584-2205,(409) 584-3096,debbie.lane@westsabineisd.net,www.westsabineisd.net,MRS DEBORAH LANE   ,'EE-05,336,Active, ,2015-03-14T05:35:23,136,USCGeocoder,47,1,4.01,,2a146140-98a6-43b3-99b8-791b3c22c8fc,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,31.25313,-93.973063,Exact
'203,SAN AUGUSTINE COUNTY,'07,'203901,SAN AUGUSTINE ISD,INDEPENDENT,1002 BARRETT ST,SAN AUGUSTINE,TX,75972-2298,1002 BARRETT ST,SAN AUGUSTINE,TX,75972-2298,(936) 275-2306,(936) 275-9776,vliepman@saisd.us,www.saisd.us,DR VIRGINIA M LIEPMAN   ,768,'203901002,SAN AUGUSTINE H S,REGULAR INSTRUCTIONAL,,1002 BARRETT ST,SAN AUGUSTINE,TX,75972,702 N CLARK ST,SAN AUGUSTINE,TX,75972,(936) 275-9603,(936) 275-9829,tlittle@saisd.us,,MR TIM LITTLE   ,'06-12,361,Active, ,2015-03-14T05:35:23,137,USCGeocoder,47,1,4.01,,ceccb429-2c9a-4f84-8bb3-bb3071cdc7b3,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,Manual,,,0,31.536381,-94.099855,Exact
